支付宝,,,,
交易分类,交易对方,商品说明,金额,W
交通出行,地铁快乐行,TVM购票,4,Y
交通出行,美团平台商户,美团订单-24012711100400000029041987829245,5.8,L
交通出行,美团平台商户,美团订单-24012711100400001309041612161001,6.8,Y
交通出行,美团,美团订单-合并支付购买,2.5,Y
住宿,百度平台商家,高级大床房,127,L
住宿,百度平台商家,大床房,146,L
住宿,百度平台商家,大床房,146,L
住宿,百度平台商家,大床房(格林大促),156,L
住宿,百度平台商家,大床房(格林大促),175,L
住宿,百度平台商家,高级大床房,252,L
门票,百度平台商家,野生动物园,194,L
门票,百度平台商家,野生动物园,194,L
门票,京东,迪士尼门票,474,L
门票,京东,迪士尼门票,474,Y
玩乐,上海野生动物园景区旗舰店,动物部—鹈鹕互动,15,L
玩乐,上海野生动物园景区旗舰店,动物部分—羊驼互动点,20,L
玩乐,上海野生动物园景区旗舰店,动物部—长颈鹿互动点,60,L
玩乐,上海泉季沐浴有限公司,手牌付款，账单号489757,596,L
